x coordinate,y coordinate
-,-
2.08300395256917,0.3987341772151899
3.9802371541501973,0.7974683544303798
6.0355731225296445,6.025316455696203
8.011857707509883,9.481012658227849
9.988142292490117,10.987341772151899
12.043478260869565,11.29746835443038
14.019762845849801,11.563291139240507
16.07509881422925,11.829113924050633
18.051383399209488,9.968354430379748
19.948616600790512,8.949367088607595
22.00395256916996,7.974683544303797
23.980237154150196,3.9873417721518987
25.956521739130437,2.481012658227848
27.932806324110672,1.5063291139240507
29.98814229249012,2.481012658227848
