x coordinate,y coordinate
-,-
2.0105042016806722,0.38434163701067614
2.51890756302521,0.7686832740213523
3.004201680672269,1.4733096085409252
3.5126050420168067,3.7793594306049823
3.9978991596638656,6.661921708185053
4.483193277310924,10.825622775800712
5.014705882352941,13.836298932384341
5.5,14.604982206405694
6.008403361344538,16.07829181494662
6.516806722689076,14.220640569395018
7.025210084033613,9.160142348754448
7.510504201680672,5.06049822064057
7.995798319327731,2.113879003558719
8.504201680672269,1.5373665480427046
9.012605042016807,0.7046263345195729
9.497899159663865,0.3202846975088968
10.006302521008404,0.6405693950177936
